lat,lon,satelite,data
-3.421500,-79.599300,GOES-19,2025-08-29 03:10:00
-3.421500,-79.581200,GOES-19,2025-08-29 03:10:00
-15.989500,-61.648800,GOES-19,2025-08-29 03:10:00
-15.989700,-61.629000,GOES-19,2025-08-29 03:10:00
-16.087600,-61.542200,GOES-19,2025-08-29 03:10:00
-16.107000,-61.540600,GOES-19,2025-08-29 03:10:00
-16.107200,-61.520800,GOES-19,2025-08-29 03:10:00
-16.126400,-61.539000,GOES-19,2025-08-29 03:10:00
-17.644100,-61.804600,GOES-19,2025-08-29 03:10:00
-17.663700,-61.802800,GOES-19,2025-08-29 03:10:00
-22.469200,-60.036500,GOES-19,2025-08-29 03:10:00
-22.489800,-60.033800,GOES-19,2025-08-29 03:10:00
-24.119100,-64.751900,GOES-19,2025-08-29 03:10:00
-24.139800,-64.770400,GOES-19,2025-08-29 03:10:00
-24.140100,-64.749800,GOES-19,2025-08-29 03:10:00
-24.161100,-64.747800,GOES-19,2025-08-29 03:10:00
-24.444800,-63.955600,GOES-19,2025-08-29 03:10:00
-28.527500,-60.377300,GOES-19,2025-08-29 03:10:00
-28.549800,-60.373500,GOES-19,2025-08-29 03:10:00
-6.535800,-43.923700,GOES-19,2025-08-29 03:10:00
-6.554600,-43.922100,GOES-19,2025-08-29 03:10:00
-12.097600,-44.717000,GOES-19,2025-08-29 03:10:00
-13.538600,-46.877500,GOES-19,2025-08-29 03:10:00
-13.539100,-46.854800,GOES-19,2025-08-29 03:10:00
-13.556700,-46.942600,GOES-19,2025-08-29 03:10:00
-5.608100,-45.003800,GOES-19,2025-08-29 03:10:00
-5.626800,-45.002500,GOES-19,2025-08-29 03:10:00
-6.167200,-47.285800,GOES-19,2025-08-29 03:10:00
-6.968300,-59.336200,GOES-19,2025-08-29 03:10:00
-6.986700,-59.335400,GOES-19,2025-08-29 03:10:00
-8.175800,-61.375500,GOES-19,2025-08-29 03:10:00
-9.096900,-65.770500,GOES-19,2025-08-29 03:10:00
-9.115400,-65.788600,GOES-19,2025-08-29 03:10:00
-9.115500,-65.769900,GOES-19,2025-08-29 03:10:00
-9.115600,-65.751300,GOES-19,2025-08-29 03:10:00
-9.134000,-65.769400,GOES-19,2025-08-29 03:10:00
-9.152500,-65.787400,GOES-19,2025-08-29 03:10:00
-9.443200,-60.569200,GOES-19,2025-08-29 03:10:00
-9.443300,-60.549900,GOES-19,2025-08-29 03:10:00
-9.461800,-60.568200,GOES-19,2025-08-29 03:10:00
-9.462000,-60.549000,GOES-19,2025-08-29 03:10:00
-9.732200,-64.906700,GOES-19,2025-08-29 03:10:00
-9.772800,-64.265700,GOES-19,2025-08-29 03:10:00
-9.773000,-64.246900,GOES-19,2025-08-29 03:10:00
-9.791600,-64.246100,GOES-19,2025-08-29 03:10:00
-9.932800,-59.924700,GOES-19,2025-08-29 03:10:00
-10.362400,-57.825800,GOES-19,2025-08-29 03:10:00
-10.381200,-57.824500,GOES-19,2025-08-29 03:10:00
-12.434500,-63.917300,GOES-19,2025-08-29 03:10:00
-13.015100,-56.918400,GOES-19,2025-08-29 03:10:00
