lat,lon,satelite,data
8.790400,-68.523400,GOES-19,2026-02-22 04:00:00
8.235300,-68.958000,GOES-19,2026-02-22 04:00:00
7.847500,-69.332100,GOES-19,2026-02-22 04:00:00
5.481000,-70.093900,GOES-19,2026-02-22 04:00:00
9.628100,-63.573300,GOES-19,2026-02-22 03:50:00
8.790400,-68.523400,GOES-19,2026-02-22 03:50:00
8.735800,-68.247800,GOES-19,2026-02-22 03:50:00
8.235300,-68.958000,GOES-19,2026-02-22 03:50:00
7.847500,-69.332100,GOES-19,2026-02-22 03:50:00
5.481000,-70.093900,GOES-19,2026-02-22 03:50:00
8.790400,-68.523400,GOES-19,2026-02-22 03:40:00
8.735800,-68.247800,GOES-19,2026-02-22 03:40:00
8.717300,-68.248200,GOES-19,2026-02-22 03:40:00
8.235300,-68.958000,GOES-19,2026-02-22 03:40:00
7.847400,-69.350400,GOES-19,2026-02-22 03:40:00
7.847500,-69.332100,GOES-19,2026-02-22 03:40:00
7.204100,-69.250600,GOES-19,2026-02-22 03:40:00
5.426100,-70.130900,GOES-19,2026-02-22 03:40:00
9.420400,-68.306200,GOES-19,2026-02-22 03:30:00
8.735800,-68.247800,GOES-19,2026-02-22 03:30:00
8.235300,-68.958000,GOES-19,2026-02-22 03:30:00
7.865800,-69.350100,GOES-19,2026-02-22 03:30:00
7.865900,-69.331800,GOES-19,2026-02-22 03:30:00
7.847400,-69.350400,GOES-19,2026-02-22 03:30:00
7.847500,-69.332100,GOES-19,2026-02-22 03:30:00
7.204100,-69.250600,GOES-19,2026-02-22 03:30:00
5.444400,-70.130700,GOES-19,2026-02-22 03:30:00
5.426100,-70.149100,GOES-19,2026-02-22 03:30:00
5.426100,-70.130900,GOES-19,2026-02-22 03:30:00
5.426200,-70.112700,GOES-19,2026-02-22 03:30:00
3.747500,-72.227800,GOES-19,2026-02-22 03:30:00
-19.945400,-57.915900,GOES-19,2026-02-22 03:30:00
-19.945700,-57.895100,GOES-19,2026-02-22 03:30:00
-19.965500,-57.913200,GOES-19,2026-02-22 03:30:00
-19.965900,-57.892400,GOES-19,2026-02-22 03:30:00
3.674800,-61.152500,GOES-19,2026-02-21 14:20:00
3.674800,-61.152500,GOES-19,2026-02-21 15:00:00
3.674800,-61.152500,GOES-19,2026-02-21 15:10:00
3.493000,-60.777200,GOES-19,2026-02-21 15:00:00
2.561700,-60.735400,GOES-19,2026-02-21 00:20:00
2.543400,-60.735700,GOES-19,2026-02-21 00:20:00
3.641700,-59.918400,GOES-19,2026-02-21 13:40:00
3.641700,-59.918400,GOES-19,2026-02-21 13:50:00
3.641700,-59.918400,GOES-19,2026-02-21 14:00:00
3.641700,-59.918400,GOES-19,2026-02-21 14:10:00
3.641700,-59.918400,GOES-19,2026-02-21 14:30:00
9.495200,-68.119400,GOES-19,2026-02-22 03:20:00
8.735800,-68.247800,GOES-19,2026-02-22 03:20:00
8.235300,-68.958000,GOES-19,2026-02-22 03:20:00
7.865900,-69.331800,GOES-19,2026-02-22 03:20:00
7.847500,-69.332100,GOES-19,2026-02-22 03:20:00
7.204100,-69.250600,GOES-19,2026-02-22 03:20:00
7.204100,-69.232300,GOES-19,2026-02-22 03:20:00
5.817800,-66.389500,GOES-19,2026-02-22 03:20:00
3.747500,-72.245900,GOES-19,2026-02-22 03:20:00
3.747500,-72.227800,GOES-19,2026-02-22 03:20:00
9.548100,-68.968800,GOES-19,2026-02-22 03:10:00
9.513800,-68.118900,GOES-19,2026-02-22 03:10:00
9.495200,-68.137900,GOES-19,2026-02-22 03:10:00
9.495200,-68.119400,GOES-19,2026-02-22 03:10:00
9.495300,-68.100900,GOES-19,2026-02-22 03:10:00
9.476700,-68.119900,GOES-19,2026-02-22 03:10:00
9.401900,-68.306700,GOES-19,2026-02-22 03:10:00
8.790400,-68.523400,GOES-19,2026-02-22 03:10:00
8.735800,-68.247800,GOES-19,2026-02-22 03:10:00
7.847500,-69.332100,GOES-19,2026-02-22 03:10:00
7.204100,-69.250600,GOES-19,2026-02-22 03:10:00
7.204100,-69.232300,GOES-19,2026-02-22 03:10:00
-19.945400,-57.915900,GOES-19,2026-02-22 03:10:00
-19.965500,-57.913200,GOES-19,2026-02-22 03:10:00
9.628100,-63.573300,GOES-19,2026-02-22 03:00:00
9.495200,-68.119400,GOES-19,2026-02-22 03:00:00
9.401900,-68.306700,GOES-19,2026-02-22 03:00:00
8.790400,-68.523400,GOES-19,2026-02-22 03:00:00
7.847500,-69.332100,GOES-19,2026-02-22 03:00:00
7.204100,-69.250600,GOES-19,2026-02-22 03:00:00
7.204100,-69.232300,GOES-19,2026-02-22 03:00:00
5.426100,-70.130900,GOES-19,2026-02-22 03:00:00
-19.945400,-57.915900,GOES-19,2026-02-22 03:00:00
-19.945700,-57.895100,GOES-19,2026-02-22 03:00:00
-19.965500,-57.913200,GOES-19,2026-02-22 03:00:00
-19.965900,-57.892400,GOES-19,2026-02-22 03:00:00
9.401900,-68.306700,GOES-19,2026-02-22 02:50:00
9.310100,-68.049800,GOES-19,2026-02-22 02:50:00
8.790400,-68.523400,GOES-19,2026-02-22 02:50:00
8.735800,-68.247800,GOES-19,2026-02-22 02:50:00
7.847500,-69.332100,GOES-19,2026-02-22 02:50:00
7.204100,-69.250600,GOES-19,2026-02-22 02:50:00
7.204100,-69.232300,GOES-19,2026-02-22 02:50:00
-19.945400,-57.915900,GOES-19,2026-02-22 02:50:00
-19.945700,-57.895100,GOES-19,2026-02-22 02:50:00
-19.965500,-57.913200,GOES-19,2026-02-22 02:50:00
-19.965900,-57.892400,GOES-19,2026-02-22 02:50:00
